Title,Permalink,"WPML Language Code",Categories
"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",https://nchc.org/releases/president-carter-leaders-call-for-bi-partisan-action-to-achieve-universal-health-insurance-coverage-2/,en,releases
"N E W S R E L E A S E",https://nchc.org/releases/n-e-w-s-r-e-l-e-a-s-e-17/,en,releases
"Statement on President Clinton's Long Term Care Tax Credit Proposal",https://nchc.org/releases/press010899/,en,releases
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-2/,en,releases
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-3/,en,releases
"<strong><em>Health Care Spending Rising Fastest in the U.S.</em></strong>",https://nchc.org/releases/oecd/,en,releases
"Statement on Emerging Health Care Proposals From President Clinton and Congressional Republicans",https://nchc.org/releases/newpress/,en,releases
"MAJOR GROUPS JOIN THE NATIONAL COALITION ON HEALTH CARE SIGNALING GROWING SUPPORT FOR REFORM",https://nchc.org/releases/new_member_release_11-8-99/,en,releases
"After the SGR: Building a Transformed Payment and Delivery System",https://nchc.org/events/after-the-sgr-building-a-transformed-payment-and-delivery-system/,en,events
"Alternative Payment Methods: Achieving the Next Level of Performance",https://nchc.org/events/alternative-payment-methods-achieving-the-next-level-of-performance/,en,events
"A Prescription for Savings: Medication Management and Improved Adherence",https://nchc.org/events/a-prescription-for-savings-medication-management-and-improved-adherence/,en,events
"Bending the Health Care Cost Curve: The Role of Investments in Prevention",https://nchc.org/events/bending-the-health-care-cost-curve-the-role-of-investments-in-prevention/,en,events
"Competition and Prescription Drug Costs: What’s Ahead in 2017",https://nchc.org/events/competition-and-prescription-drug-costs-whats-ahead-in-2017/,en,events
"Is Arbitration a Solution to High Drug Prices?",https://nchc.org/events/congressional-briefing-on-binding-arbitration/,en,events
"Curbing Costs While Expanding Coverage: Strategies from Massachusetts and California for a Post SCOTUS World",https://nchc.org/events/curbing-costs-while-expanding-coverage-strategies-from-massachusetts-and-california-for-a-post-scotus-world/,en,events
"NCHC &amp; West Health Hill Briefing: Drug Pricing Reform: The Costs of Inaction",https://nchc.org/events/drug-pricing-reform-the-costs-of-inaction/,en,events
"Episodic Bundled Payment: A Critical Next Step in Health Care Payment Reform",https://nchc.org/events/episodic-bundled-payment-a-critical-next-step-in-health-care-payment-reform/,en,events
"Freshman Member Briefing on Medicaid Fundamentals",https://nchc.org/events/freshman-briefing-on-medicaid-fundamentals/,en,events
"Freshman Member Briefing on the Affordable Care Act",https://nchc.org/events/freshman-member-briefing-on-the-affordable-care-act/,en,events
"Health Care Quality and Efficiency: The Role of Consumer Engagement and Improved Diagnostic and Therapeutic Accuracy",https://nchc.org/events/health-care-quality-and-efficiency-the-role-of-consumer-engagement-and-improved-diagnostic-and-therapeutic-accuracy/,en,events
"<strong><em>Medicare Vouchers Could Save MoneyBut Must Be Designed Carefully To Avoid Hurting The Elderly</em></strong>",https://nchc.org/releases/medicare/,en,releases
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-4/,en,releases
"Health Policy After the SGR: What’s Possible in Value-Based Payment and Benefits?",https://nchc.org/events/health-policy-after-the-sgr-whats-possible-in-value-based-payment-and-benefits/,en,events
"Reducing Medical Errors",https://nchc.org/releases/medical_release_2-22/,en,releases
"<em><strong>Number of Uninsured Could Rise<br>By 16-18 Million Over the Next Decade</strong></em>",https://nchc.org/releases/mayrevise/,en,releases
"The Path Forward: The 2020 Elections and Re-Imagining the Health Care System Amid Crisis",https://nchc.org/events/https-nchc-org-thepathforward/,en,events
"Coalition Calls For Quality of Care Legislation This Year",https://nchc.org/releases/legislation/,en,releases
"<strong>Best Practices: New Strategies to Reduce Medical Errors</strong>",https://nchc.org/releases/hes_speech_on_medical_errors_2-22/,en,releases
"<strong>IOWA GOVERNORS ISSUE BI-PARTISAN CALL FOR ACTION ON HEALTH CAR</strong>",https://nchc.org/releases/iowa_governors_issue_1-7-00/,en,releases
Study,https://nchc.org/releases/erosion/,en,releases
"Improving Chronic Care in Medicare Advantage and Beyond",https://nchc.org/events/improving-chronic-care-in-medicare-advantage-and-beyond/,en,events
"<strong>USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:<br>A PRIMER ON THE ISSUES</strong>",https://nchc.org/releases/expandinsurance-2/,en,releases
"Report on Best Practices to Reduce Medical Errors Will Be Issued in Early 2000",https://nchc.org/releases/health_care_alert_12-1-99/,en,releases
"<strong>USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:<br>A PRIMER ON THE ISSUES</strong>",https://nchc.org/releases/using-the-federal-income-tax-system-to-expand-health-insurance-coveragea-primer-on-the-issues-2/,en,releases
"Improving Medicare Post-Acute Care Transformation (IMPACT) Through Standardized Assessment Data",https://nchc.org/events/improving-medicare-post-acute-care-transformation-impact-through-standardized-assessment-data/,en,events
Study,https://nchc.org/releases/study-2/,en,releases
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-5/,en,releases
"Improving Patient Quality of Life: The Role of Palliative Care",https://nchc.org/events/improving-patient-quality-of-life-the-role-of-palliative-care/,en,events
"<strong><em>FOCUS OF HEALTH CARE DEBATE MUST BE EXPANDED</em></strong>",https://nchc.org/releases/debate13/,en,releases
"Innovative Private Sector Strategies to Curb Health Costs",https://nchc.org/events/innovative-private-sector-strategies-to-curb-health-costs/,en,events
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-6/,en,releases
"<strong><em>Congressional Candidates Express Broad Bipartisan Support For</em></strong><br><strong><em>Health System Changes</em></strong>",https://nchc.org/releases/candidate/,en,releases
"Medicare Cliff: Who’s Impacted by Projected 52% Jump in Medicare Premiums? Will Washington Do Something About It?",https://nchc.org/events/medicare-cliff-whos-impacted-by-projected-52-jump-in-medicare-premiums-will-washington-do-something-about-it/,en,events
"<strong>Universal Coverage - A Call for Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-7/,en,releases
"<strong><em>Former President George Bush Joins the National Coalition on Health Care</em></strong>",https://nchc.org/releases/bush_joins/,en,releases
"NCHC &amp; West Health Hill Briefing: The Burden of High Drug Prices Among Communities of Color (Part 1)",https://nchc.org/events/nchc-west-health-public-hill-briefing-on-drug-pricing-2/,en,events
"March 15, 1999",https://nchc.org/releases/attach2/,en,releases
"<strong>Improving the Quality of Health Care:</strong><br><strong>The Federal Government Must Play a Vital Role</strong>",https://nchc.org/releases/attach1/,en,releases
"<strong><em>Initiative to Improve Health Care<br>Seeks Wider Adoption of Quality Innovations</em></strong>",https://nchc.org/releases/adopt_quality/,en,releases
"<strong>Universal Coverage - A Call For Action</strong>",https://nchc.org/releases/universal-coverage-a-call-for-action-8/,en,releases
"Did You Know?",https://nchc.org/know/seniors/,en,know
"Health Care Facts",https://nchc.org/know/coverage/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-2/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-3/,en,know
GLOSSARY,https://nchc.org/know/glossary/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-4/,en,know
"HEALTH CARE COSTS ñ MYTHS AND REALTIES",https://nchc.org/know/mythnreality/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-5/,en,know
"Key Findings - Quality Paper",https://nchc.org/know/quality_myths/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-6/,en,know
"Did You Know?",https://nchc.org/know/did-you-know-7/,en,know
"<a href=""https://nchc.org/wp-admin/post.php?post=1074&amp;action=edit"">Health Care Facts</a>",https://nchc.org/know/spending/,en,know
"Uninsured Myths and Realities",https://nchc.org/know/uninsured_myths/,en,know
"NCHC | Materials - Articles",https://nchc.org/materials/index-6/,en,materials
"NCHC | News - Press Releases",https://nchc.org/materials/archive/,en,materials
"NCHC | News - Press Releases",https://nchc.org/materials/nchc-news-press-releases-2/,en,materials
"NCHC | News - Press Releases",https://nchc.org/materials/nchc-news-press-releases-3/,en,materials
"New Paths to Health Care Value: Perspectives on Medicare Policy from Cost and Quality Leaders",https://nchc.org/events/new-paths-to-health-care-value-perspectives-on-medicare-policy-from-cost-and-quality-leaders/,en,events
"Previewing the 2017 Health Care Policy Agenda",https://nchc.org/events/previewing-the-2017-health-care-policy-agenda/,en,events
"Separating Politics from Health Care Choices: Key “Purple” Messages for All Consumers",https://nchc.org/events/separating-politics-from-health-care-choices-key-purple-messages-for-all-consumers/,en,events
sdfsdf,https://nchc.org/massachusettsnews/sdfsdf/,en,massachusetts&gt;news
"Sugary Drinks, A Public Health Challenge: Using Tax Policy to Promote Wellness and Prevention",https://nchc.org/events/sugary-drinks-a-public-health-challenge-using-tax-policy-to-promote-wellness-and-prevention/,en,events
"Tackling Prescription Drug Costs: An Examination of Proposed Medicare Part D Reforms and Alternatives",https://nchc.org/events/tackling-prescription-drug-costs-an-examination-of-proposed-medicare-part-d-reforms-and-alternatives/,en,events
"The Escalating Costs of Health Coverage: Causes, Impacts, and Options",https://nchc.org/events/the-escalating-costs-of-health-coverage-causes-impacts-and-options/,en,events
"Transforming Primary Care: Scaling Up Successful Medical Home Programs",https://nchc.org/events/transforming-primary-care-scaling-up-successful-medical-home-programs/,en,events
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/board/,en,members&gt;bios
"Withholds, Accountable Care, and Affordable Medicare Policy",https://nchc.org/events/withholds-accountable-care-and-affordable-medicare-policy/,en,events
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-2/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-3/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-4/,en,members&gt;bios
Events,https://nchc.org/events/ical-1/,en,events
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-5/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-6/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-7/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-8/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/membersbios/nchc-members-board-of-directors-9/,en,members&gt;bios
"NCHC | Members - Board of Directors",https://nchc.org/members/nchc-members-board-of-directors-10/,en,members
"Key Findings on Health Care Spending",https://nchc.org/emerge/key-findings-on-health-care-spending-2/,en,emerge
"NCHC | Members - Co-chairs",https://nchc.org/members/cochairs/,en,members
"NCHC | Members - Honorary Co-chairs",https://nchc.org/members/honorary/,en,members
"NCHC | Members - Membership List",https://nchc.org/members/members/,en,members
"NCHC | Members",https://nchc.org/members/membersindex/,en,members
"NCHC | Members - Individual Supporters",https://nchc.org/members/supporters/,en,members
"Minnesota Governor Issues Executive Order for Health Plans to Disclose Financials",https://nchc.org/minnesotanews/minnesota-governor-issues-executive-order-health-plans-disclose-financials/,en,minnesota&gt;news
"Minnesota: 2010 Tobacco Fact Sheet",https://nchc.org/minnesotaresource/minnesota-2010-tobacco-fact-sheet/,en,minnesota&gt;resource
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/simmonsbio/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-2/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-3/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-4/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-5/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-6/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-7/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-8/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-9/,en,news&gt;media_statements
"NCHC | News - Press Releases",https://nchc.org/newsmedia_statements/nchc-news-press-releases-4/,en,news&gt;media_statements
"Administration Invites Congressional Leaders to Bipartisan Health Care Summit",https://nchc.org/facts-resources/administration-invites-congressional-leaders-bipartisan-health-care-summit/,en,facts-resources
"NCHC | News - May 19th, 2003 Press Conference",https://nchc.org/newsmedia_statements/nchc-news-may-19th-2003-press-conference/,en,news&gt;media_statements
"NCHC | News - May 19th, 2003 Press Conference",https://nchc.org/newsmedia_statements/nchc-news-may-19th-2003-press-conference-2/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-10/,en,news&gt;media_statements
"Adults and Cigarette Smoking: Prevalence and Trends",https://nchc.org/facts-resources/adults-and-cigarette-smoking-prevalence-and-trends/,en,facts-resources
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-11/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-12/,en,news&gt;media_statements
"The Affordable Act: What It Means for You",https://nchc.org/facts-resources/affordable-act-what-it-means-you/,en,facts-resources
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-13/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-14/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-15/,en,news&gt;media_statements
"Allies In Action - ""Better Care at Lower Cost: Principles of Design""",https://nchc.org/facts-resources/allies-action-better-care-lower-cost-principles-design/,en,facts-resources
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-16/,en,news&gt;media_statements
"NCHC | News - Media Statements",https://nchc.org/newsmedia_statements/nchc-news-media-statements-17/,en,news&gt;media_statements
"Annual Report",https://nchc.org/facts-resources/annual-report/,en,facts-resources
"NCHC | News - Press Coverage",https://nchc.org/newspress_coverage/index-3/,en,news&gt;press_coverage
"NCHC | News - Press Releases",https://nchc.org/news/nchc-news-press-releases-5/,en,news
"NCHC | News - Press Releases",https://nchc.org/newspress_releases/nchc-news-press-releases-6/,en,news&gt;press_releases
"Are You Choosing the Right Foods?",https://nchc.org/facts-resources/are-you-choosing-right-foods/,en,facts-resources
"NCHC | News - Press Releases",https://nchc.org/newspress_releases2003/nchc-news-press-releases-7/,en,news&gt;press_releases&gt;2003
"California's Ethnic Adults Need More Information About Health Care Reform",https://nchc.org/facts-resources/californias-ethnic-adults-need-more-information-about-health-care-reform/,en,facts-resources
"NCHC | News - Press Releases",https://nchc.org/newspress_releases2003/nchc-news-press-releases-8/,en,news&gt;press_releases&gt;2003
"CBO Projects Medicare Spending at $1,038 Billion in 2020",https://nchc.org/facts-resources/cbo-projects-medicare-spending-1038-billion-2020/,en,facts-resources
"NCHC | News - Press Releases",https://nchc.org/newspress_releases2003/nchc-news-press-releases-9/,en,news&gt;press_releases&gt;2003
"NCHC | News - Press Releases",https://nchc.org/newspress_releases/nchc-news-press-releases-10/,en,news&gt;press_releases
"Center for American Progress - Closing the Health Care Workforce Gap",https://nchc.org/facts-resources/center-american-progress-closing-health-care-workforce-gap/,en,facts-resources
"NCHC | News - Press Releases",https://nchc.org/newspress_releases/nchc-news-press-releases-11/,en,news&gt;press_releases
"Children Lack Access to Dental Care, A Key Preventive Service",https://nchc.org/facts-resources/children-lack-access-dental-care-key-preventive-service/,en,facts-resources
"NCHC | News - Upcoming Events - Community Forums",https://nchc.org/newsupcoming_events/communityforum/,en,news&gt;upcoming_events
"CMS Report on 2008 National Health Care Expenditures",https://nchc.org/facts-resources/cms-report-2008-national-health-care-expenditures/,en,facts-resources
"NCHC | News - Upcoming Events",https://nchc.org/newsupcoming_events/index-5/,en,news&gt;upcoming_events
"Community Health Centers Impact Neighborhood Health and Economic Needs",https://nchc.org/facts-resources/community-health-centers-impact-neighborhood-health-and-economic-needs/,en,facts-resources
"Comparing the Cost and Coverage Impacts of the House and Senate Leadership Health Reform Bills",https://nchc.org/facts-resources/comparing-cost-and-coverage-impacts-house-and-senate-leadership-health-reform-bills/,en,facts-resources
"A Compendium of Federal Budget and Cost Cutting Proposals from the Health Policy Perspective",https://nchc.org/facts-resources/compendium-federal-budget-and-cost-cutting-proposals-health-policy-perspective/,en,facts-resources
"Congressional Budget Office - Revised Cost Estimate for H.R. 3962",https://nchc.org/facts-resources/congressional-budget-office-revised-cost-estimate-hr-3962/,en,facts-resources
"Congressional Research Service Analyzes State Exchange Language",https://nchc.org/facts-resources/congressional-research-service-analyzes-state-exchange-language/,en,facts-resources
"Cost Containment: The Key to Accessible, Affordable, High-Quality Health Care",https://nchc.org/facts-resources/cost-containment-key-accessible-affordable-high-quality-health-care/,en,facts-resources
"The Costly Impact of Physican Ownership of Medical Equipment",https://nchc.org/facts-resources/costly-impact-physican-ownership-medical-equipment/,en,facts-resources
"CRS Report Identifies Workforce and Quality Provisions of Health Reform",https://nchc.org/facts-resources/crs-report-identifies-workforce-and-quality-provisions-health-reform/,en,facts-resources
"CRS Summarizes Discretionary Funding, Appropiations and Fund Transfers in ACA",https://nchc.org/facts-resources/crs-summarizes-discretionary-funding-appropiations-and-fund-transfers-aca/,en,facts-resources
"Democratic Congressional Leaders Asked to Ensure Bipartisan Process",https://nchc.org/facts-resources/democratic-congressional-leaders-asked-ensure-bipartisan-process/,en,facts-resources
"Educating Skittish Small Businesses",https://nchc.org/facts-resources/educating-skittish-small-businesses/,en,facts-resources
"The Effects of Cost-Sharing on the Health of Vulnerable Populations",https://nchc.org/facts-resources/effects-cost-sharing-health-vulnerable-populations/,en,facts-resources
"Estimated Financial Effects of the ""America's Affordable Health Choices Act of 2009"" (H.R. 3962)",https://nchc.org/facts-resources/estimated-financial-effects-americas-affordable-health-choices-act-2009-hr-3962/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/list-page-8/,en,facts-resources
"Fact Sheet - Early Retirees",https://nchc.org/facts-resources/fact-sheet-early-retirees/,en,facts-resources
"Fact Sheet - Free Drug Samples",https://nchc.org/facts-resources/fact-sheet-free-drug-samples/,en,facts-resources
"Health Care and You: Understanding the Health Care Law",https://nchc.org/facts-resources/health-care-and-you-understanding-health-care-law/,en,facts-resources
"Health Care Reform: Creating A Sustainable Health Care Marketplace",https://nchc.org/facts-resources/health-care-reform-creating-sustainable-health-care-marketplace/,en,facts-resources
"Health Reform Advocates Push for Completion of Temporary Insurance Pool",https://nchc.org/facts-resources/health-reform-advocates-push-completion-temporary-insurance-pool/,en,facts-resources
"Holding Steady, Looking Ahead: Kaiser's Annual Findings of a 50-State Survey",https://nchc.org/facts-resources/holding-steady-looking-ahead-kaisers-annual-findings-50-state-survey/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-2/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-3/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-4/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-5/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-6/,en,facts-resources
"Facts &amp; Resources",https://nchc.org/facts-resources/facts-resources-7/,en,facts-resources
"Medicare: 6 Things You Need to Know Now",https://nchc.org/facts-resources/medicare-6-things-you-need-know-now/,en,facts-resources
"National Health Expenditures Jumped 5.7 Percent Last Year",https://nchc.org/facts-resources/national-health-expenditures-jumped-57-percent-last-year/,en,facts-resources
"National Minimum Medical Loss Ratio Would Save Tens of Billions of Dollars For Businesses, Individuals - Main Street Alliance",https://nchc.org/facts-resources/national-minimum-medical-loss-ratio-would-save-tens-billions-dollars-businesses-indi/,en,facts-resources
"Need CA Health Stats? Look No Further!",https://nchc.org/facts-resources/need-ca-health-stats-look-no-further/,en,facts-resources
"New America on Health Policy: Easy Access to Our Work and Experts on This Issue",https://nchc.org/facts-resources/new-america-health-policy-easy-access-our-work-and-experts-issue/,en,facts-resources
"New CBO Score Claims Greater Deficit Reduction from Health Reform",https://nchc.org/facts-resources/new-cbo-score-claims-greater-deficit-reduction-health-reform/,en,facts-resources
"New Website to Provide Health Reform Information to Consumers",https://nchc.org/facts-resources/new-website-provide-health-reform-information-consumers/,en,facts-resources
"The Patient Protection and Affordable Care Act",https://nchc.org/facts-resources/patient-protection-and-affordable-care-act/,en,facts-resources
"Personal Cost of Obesity",https://nchc.org/facts-resources/personal-cost-obesity/,en,facts-resources
"Plans to Improve Health Care’s Fiscal Challenges",https://nchc.org/facts-resources/plans-improve-health-care-s-fiscal-challenges/,en,facts-resources
"President Obama Calls for Completion of Health Reform",https://nchc.org/facts-resources/president-obama-calls-completion-health-reform/,en,facts-resources
"Realizing Cost Savings from Health Promotion Programs",https://nchc.org/facts-resources/realizing-cost-savings-health-promotion-programs/,en,facts-resources
"Repealing Reform Increases Deficit by $455 Billion",https://nchc.org/facts-resources/repealing-reform-increases-deficit-455-billion/,en,facts-resources
"Retiree Health Benefits, Underfunded in 40 States",https://nchc.org/facts-resources/retiree-health-benefits-underfunded-40-states/,en,facts-resources
"Robert Wood Johnson Foundation Develops Interactive Tool to Track Smoking-Related Trends",https://nchc.org/facts-resources/robert-wood-johnson-foundation-develops-interactive-tool-track-smoking-related-trend/,en,facts-resources
"Rules Committee Posts Text of Health Reform Corrections Package",https://nchc.org/facts-resources/rules-committee-posts-text-health-reform-corrections-package/,en,facts-resources
"Secretaries of Health and Human Services, Labor and Treasury Highlight ACA Benefits",https://nchc.org/facts-resources/secretaries-health-and-human-services-labor-and-treasury-highlight-aca-benefits/,en,facts-resources
"Small Business and Realizing Health Reform's Potential",https://nchc.org/facts-resources/small-business-and-realizing-health-reforms-potential/,en,facts-resources
"Small Business Tax Credit Calculator",https://nchc.org/facts-resources/small-business-tax-credit-calculator/,en,facts-resources
"Smoking Cessation: Benefits, Barriers, and Policy Interventions",https://nchc.org/facts-resources/smoking-cessation-benefits-barriers-and-policy-interventions/,en,facts-resources
"Socio-Economic Status and Smoking",https://nchc.org/facts-resources/socio-economic-status-and-smoking/,en,facts-resources
"Specifications for Reform",https://nchc.org/facts-resources/specifications-reform/,en,facts-resources
"Stimulus Dollars Aid to Community Health Centers: A First Look",https://nchc.org/facts-resources/stimulus-dollars-aid-community-health-centers-first-look/,en,facts-resources
"Third Way Policy Brief - What's In It For Me: 12 Benefits of Health Insurance Reform",https://nchc.org/facts-resources/third-way-policy-brief-whats-it-me-12-benefits-health-insurance-reform/,en,facts-resources
"U.S. PIRG Letter to Majority Leader Reid on Introduced Bill",https://nchc.org/facts-resources/us-pirg-letter-majority-leader-reid-introduced-bill/,en,facts-resources
"Viewing Exchanges Through the Eyes of Children (and parents)",https://nchc.org/facts-resources/viewing-exchanges-through-eyes-children-and-parents/,en,facts-resources
"What Health Reform Means to Consumers on the 6 Month Anniversary",https://nchc.org/facts-resources/what-health-reform-means-consumers-6-month-anniversary/,en,facts-resources
Forums,https://nchc.org/forums/event_id1-9/,en,forums
Forums,https://nchc.org/forums/forums-2/,en,forums
Forums,https://nchc.org/forums/forums-3/,en,forums
Forums,https://nchc.org/forums/forums-4/,en,forums
Forums,https://nchc.org/forums/forums-5/,en,forums
Forums,https://nchc.org/forums/forums-6/,en,forums
Forums,https://nchc.org/forums/forums-7/,en,forums
Forums,https://nchc.org/forums/forums-8/,en,forums
Forums,https://nchc.org/forums/forums-9/,en,forums
Forums,https://nchc.org/forums/forums-10/,en,forums
Forums,https://nchc.org/forums/forums-11/,en,forums
Forums,https://nchc.org/forums/forums-12/,en,forums
Forums,https://nchc.org/forums/forums-13/,en,forums
Forums,https://nchc.org/forums/forums-14/,en,forums
Forums,https://nchc.org/forums/forums-15/,en,forums
Forums,https://nchc.org/forums/forums-16/,en,forums
Forums,https://nchc.org/forums/forums-17/,en,forums
Forums,https://nchc.org/forums/forums-18/,en,forums
Forums,https://nchc.org/forums/forums-19/,en,forums
Forums,https://nchc.org/forums/forums-20/,en,forums
"Board Members",https://nchc.org/about-us2/board-members/,en,about-us
"BOARD OF DIRECTORS",https://nchc.org/about-us2/board-of-directors/,en,about-us
"Members and Supporters",https://nchc.org/about-us2/coalition-members/,en,about-us
"Mission and Vision",https://nchc.org/about-us2/mission-and-vision/,en,about-us
Mission,https://nchc.org/about-us2/mission-history/,en,about-us
"NCHC Team Members",https://nchc.org/about-us2/nchc-team-members/,en,about-us
"NCHC Team Members",https://nchc.org/about-us2/staff-3/,en,about-us
"A Lesson from Massachusetts: The Importance of the Individual Mandate",https://nchc.org/massachusettsnews/lesson-massachusetts-importance-individual-mandate/,en,massachusetts&gt;news
"NCHC | Materials - Articles",https://nchc.org/materialsarticles/nchc-materials-articles-2/,en,materials&gt;articles
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/upcomingspeeches/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-2/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-3/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-4/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-5/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-6/,en,materials&gt;speeches
"NCHC | Materials - Speeches",https://nchc.org/materialsspeeches/nchc-materials-speeches-7/,en,materials&gt;speeches
"NCHC | Materials - Studies/Reports",https://nchc.org/materials/index-8/,en,materials
"NCHC | Materials - Studies/Reports",https://nchc.org/materialsstudies/nchc-materials-studies-reports-2/,en,materials&gt;studies
"NCHC | Materials - Building a Better Health System Report Materials",https://nchc.org/materialsstudies/specifications/,en,materials&gt;studies
"All News | National Coalition on Health Care",https://nchc.org/newsroom/list-2/,en,newsroom
"NCHC Issue Briefs and Fact Sheets (2016)",https://nchc.org/newsroom/nchc-fact-sheet-series/,en,newsroom
"NCHC in the News (2016)",https://nchc.org/newsroom/nchc-in-the-news/,en,newsroom
"Press Kit",https://nchc.org/newsroom/press-kit/,en,newsroom
"Press Releases",https://nchc.org/newsroom/press-releases/,en,newsroom
"Containing Costs and Avoiding Tax Increases While Improving Quality: Affordable Coverage and High Value Care",https://nchc.org/newsroompress-releases/containing-costs-and-avoiding-tax-increases-while-improving-quality-affordab/,en,newsroom&gt;press-releases
"Oppose Repeal of Reform and Work for Bipartisan Health Cost Containment Solutions",https://nchc.org/newsroompress_releases/oppose-repeal-reform-and-work-bipartisan-health-cost-containment-solutions/,en,newsroom&gt;press_releases
"Working for Bipartisan Health Cost Control",https://nchc.org/newsroompress_releases/working-bipartisan-health-cost-control/,en,newsroom&gt;press_releases
"Larry McNeely | National Coalition on Health Care",https://nchc.org/node/1053/,en,node
"More Primary Care Physicians Could Mean More Savings for Medicaid",https://nchc.org/nodeuncategorized/1058/,en,node|Uncategorized
"Roadmap to State Health Insurance Exchanges",https://nchc.org/node/1060/,en,node
"The Honorable David Durenberger",https://nchc.org/node/the-honorable-david-durenberger-2/,en,node
"The Debt Ceiling Debate: Key Resources",https://nchc.org/node/1109/,en,node
"Deficit Reduction Panel Must Make Health System Costs and Quality a Top Priority",https://nchc.org/node/1124/,en,node
