ID,Title,Slug,_yoast_wpseo_title,_yoast_wpseo_metadesc,_yoast_wpseo_focuskw
847,"Innovations in Maternity Care",innovations-maternity-care,"Innovations in Maternity Care - NCHC",,
851,"A D V E R T I S M E N T",press091697,"A D V E R T I S M E N T",,
853,"N E W S R E L E A S E",press082196,"N E W S R E L E A S E",,
854,"Medicaid Per Capita Allotments: Exploring Implications for Medicare Beneficiaries",medicaid-per-capita-allotments,"Medicaid Per Capita Allotments: Exploring Implications for Medicare Beneficiaries",,
855,"N E W S R E L E A S E",press082196-2,"N E W S R E L E A S E",,
858,"N E W S R E L E A S E",press062598,"N E W S R E L E A S E",,
859,"New York Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",new-york-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage,"New York Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",,
863,"N E W S R E L E A S E",press062498,"N E W S R E L E A S E",,
865,"Philadelphia Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",philadelphia-health-care-summit-strategies-for-improving-the-affordability-of-care-and-coverage,"Philadelphia Health Care Summit: Strategies for Improving the Affordability of Care and Coverage",,
866,"N E W S R E L E A S E",press061998,"N E W S R E L E A S E",,
870,"Health Insurance Premiums",health-insurance-premiums,"Health Insurance Premiums",,
872,"N E W S R E L E A S E",press042398,"N E W S R E L E A S E",,
873,"N E W S R E L E A S E",press040997,"N E W S R E L E A S E",,
875,"N E W S R E L E A S E",press042298,"N E W S R E L E A S E",,
876,"Prevention Across the Lifespan",prevention-across-the-lifespan,"Prevention Across the Lifespan",,
880,"Primary Care: High-Value Care for Underserved Communities",primary-care,"Primary Care: High-Value Care for Underserved Communities - NCHC",,
881,"Medical Errors Report",press022200,"Medical Errors Report",,
882,"A D V E R T I S M E N T",press022997,"A D V E R T I S M E N T",,
885,"2017 Medicare Premium Spike",2017-medicare-premium-spike,"2017 Medicare Premium Spike",,
887,"<strong><em>Medicare Reform Must Include Incentives</em></strong><br><strong><em>to Improve Quality of Care</em></strong>",press021899,"Medicare Reform Must Include Incentives to Improve Quality of Care",,
889,"N E W S R E L E A S E",press020697,"N E W S R E L E A S E",,
890,"<strong>PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE</strong>",press012600,"PRESIDENT CARTER, LEADERS CALL FOR BI-PARTISAN ACTION TO ACHIEVE UNIVERSAL HEALTH INSURANCE COVERAGE",,
895,"N E W S R E L E A S E",press012397,"N E W S R E L E A S E",,
897,"Statement on President Clinton's Long Term Care Tax Credit Proposal",press010899,"Statement on President Clinton's Long Term Care Tax Credit Proposal",,
900,"<strong>Universal Coverage - A Call for Action</strong>",place_1-26-00,"Universal Coverage - A Call for Action",,
902,"<strong>Universal Coverage - A Call for Action</strong>",perkins_aarp_1-26-00,"Universal Coverage - A Call for Action",,
903,"<strong><em>Health Care Spending Rising Fastest in the U.S.</em></strong>",oecd,"Health Care Spending Rising Fastest in the U.S.",,
905,"Statement on Emerging Health Care Proposals From President Clinton and Congressional Republicans",newpress,"Statement on Emerging Health Care Proposals FromPresident Clinton and Congressional Republicans",,
907,"MAJOR GROUPS JOIN THE NATIONAL COALITION ON HEALTH CARE SIGNALING GROWING SUPPORT FOR REFORM",new_member_release_11-8-99,"MAJOR GROUPS JOIN THE NATIONAL COALITION ON HEALTH CARE SIGNALING GROWING SUPPORT FOR REFORM",,
909,"After the SGR: Building a Transformed Payment and Delivery System",after-the-sgr-building-a-transformed-payment-and-delivery-system,"After the SGR: Building a Transformed Payment and Delivery System",,
911,"Alternative Payment Methods: Achieving the Next Level of Performance",alternative-payment-methods-achieving-the-next-level-of-performance,"Alternative Payment Methods: Achieving the Next Level of Performance",,
913,"A Prescription for Savings: Medication Management and Improved Adherence",a-prescription-for-savings-medication-management-and-improved-adherence,"A Prescription for Savings: Medication Management and Improved Adherence",,
915,"Bending the Health Care Cost Curve: The Role of Investments in Prevention",bending-the-health-care-cost-curve-the-role-of-investments-in-prevention,"Bending the Health Care Cost Curve: The Role of Investments in Prevention",,
917,"Competition and Prescription Drug Costs: What’s Ahead in 2017",competition-and-prescription-drug-costs-whats-ahead-in-2017,"Competition and Prescription Drug Costs: What’s Ahead in 2017",,
919,"Is Arbitration a Solution to High Drug Prices?",congressional-briefing-on-binding-arbitration,"Is Arbitration a Solution to High Drug Prices?",,
921,"Curbing Costs While Expanding Coverage: Strategies from Massachusetts and California for a Post SCOTUS World",curbing-costs-while-expanding-coverage-strategies-from-massachusetts-and-california-for-a-post-scotus-world,"Curbing Costs While Expanding Coverage: Strategies from Massachusetts and California for a Post SCOTUS World",,
923,"NCHC &amp; West Health Hill Briefing: Drug Pricing Reform: The Costs of Inaction",drug-pricing-reform-the-costs-of-inaction,"NCHC & West Health Hill Briefing: Drug Pricing Reform: The Costs of Inaction",,
927,"Episodic Bundled Payment: A Critical Next Step in Health Care Payment Reform",episodic-bundled-payment-a-critical-next-step-in-health-care-payment-reform,"Episodic Bundled Payment: A Critical Next Step in Health Care Payment Reform",,
929,"Freshman Member Briefing on Medicaid Fundamentals",freshman-briefing-on-medicaid-fundamentals,"Freshman Member Briefing on Medicaid Fundamentals",,
931,"Freshman Member Briefing on the Affordable Care Act",freshman-member-briefing-on-the-affordable-care-act,"Freshman Member Briefing on the Affordable Care Act",,
934,"Health Care Quality and Efficiency: The Role of Consumer Engagement and Improved Diagnostic and Therapeutic Accuracy",health-care-quality-and-efficiency-the-role-of-consumer-engagement-and-improved-diagnostic-and-therapeutic-accuracy,"Health Care Quality and Efficiency: The Role of Consumer Engagement and Improved Diagnostic and Therapeutic Accuracy",,
937,"<strong><em>Medicare Vouchers Could Save MoneyBut Must Be Designed Carefully To Avoid Hurting The Elderly</em></strong>",medicare,"Medicare Vouchers Could Save MoneyBut Must Be Designed Carefully To Avoid Hurting The Elderly",,
938,"<strong>Universal Coverage - A Call for Action</strong>",mike_johns_1-26-00,"Universal Coverage - A Call for Action",,
939,"Health Policy After the SGR: What’s Possible in Value-Based Payment and Benefits?",health-policy-after-the-sgr-whats-possible-in-value-based-payment-and-benefits,"Health Policy After the SGR: What’s Possible in Value-Based Payment and Benefits?",,
943,"Reducing Medical Errors",medical_release_2-22,"Reducing Medical Errors",,
945,"<em><strong>Number of Uninsured Could Rise<br>By 16-18 Million Over the Next Decade</strong></em>",mayrevise,"Number of Uninsured Could RiseBy 16-18 Million Over the Next Decade",,
946,"The Path Forward: The 2020 Elections and Re-Imagining the Health Care System Amid Crisis",https-nchc-org-thepathforward,"The Path Forward: The 2020 Elections and Re-Imagining the Health Care System Amid Crisis",,
948,"Coalition Calls For Quality of Care Legislation This Year",legislation,"Coalition Calls For Quality of Care Legislation This Year",,
949,"<strong>Best Practices: New Strategies to Reduce Medical Errors</strong>",hes_speech_on_medical_errors_2-22,"Best Practices: New Strategies to Reduce Medical Errors",,
952,"<strong>IOWA GOVERNORS ISSUE BI-PARTISAN CALL FOR ACTION ON HEALTH CAR</strong>",iowa_governors_issue_1-7-00,"IOWA GOVERNORS ISSUE BI-PARTISAN CALL FOR ACTION ON HEALTH CARE",,
954,Study,healthinstaxes_10_18_99,Study,,
956,"Improving Chronic Care in Medicare Advantage and Beyond",improving-chronic-care-in-medicare-advantage-and-beyond,"Improving Chronic Care in Medicare Advantage and Beyond",,
958,"<strong>USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:<br>A PRIMER ON THE ISSUES</strong>",expandinsurance,"USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:A PRIMER ON THE ISSUES",,
959,"Report on Best Practices to Reduce Medical Errors Will Be Issued in Early 2000",health_care_alert_12-1-99,"Report on Best Practices to Reduce Medical Errors Will Be Issued in Early 2000",,
962,"<strong>USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:<br>A PRIMER ON THE ISSUES</strong>",expandinsurance-2,"USING THE FEDERAL INCOME TAX SYSTEM TO EXPAND HEALTH INSURANCE COVERAGE:A PRIMER ON THE ISSUES",,
963,"Improving Medicare Post-Acute Care Transformation (IMPACT) Through Standardized Assessment Data",improving-medicare-post-acute-care-transformation-impact-through-standardized-assessment-data,"Improving Medicare Post-Acute Care Transformation (IMPACT) Through Standardized Assessment Data",,
965,Study,erosion,Study,,
968,"<strong>Universal Coverage - A Call for Action</strong>",edgar_1-26-00,"Universal Coverage - A Call for Action",,
969,"Improving Patient Quality of Life: The Role of Palliative Care",improving-patient-quality-of-life-the-role-of-palliative-care,"Improving Patient Quality of Life: The Role of Palliative Care",,
972,"<strong><em>FOCUS OF HEALTH CARE DEBATE MUST BE EXPANDED</em></strong>",debate13,"FOCUS OF HEALTH CARE DEBATE MUST BE EXPANDED",,
974,"Innovative Private Sector Strategies to Curb Health Costs",innovative-private-sector-strategies-to-curb-health-costs,"Innovative Private Sector Strategies to Curb Health Costs",,
977,"<strong>Universal Coverage - A Call for Action</strong>",carter_1-26-00,"Universal Coverage - A Call for Action",,
978,"<strong><em>Congressional Candidates Express Broad Bipartisan Support For</em></strong><br><strong><em>Health System Changes</em></strong>",candidate,"Congressional Candidates Express Broad Bipartisan Support ForHealth System Changes",,
980,"Medicare Cliff: Who’s Impacted by Projected 52% Jump in Medicare Premiums? Will Washington Do Something About It?",medicare-cliff-whos-impacted-by-projected-52-jump-in-medicare-premiums-will-washington-do-something-about-it,"Medicare Cliff: Who’s Impacted by Projected 52% Jump in Medicare Premiums? Will Washington Do Something About It?",,
982,"<strong>Universal Coverage - A Call for Action</strong>",barry_1-26-00,"Universal Coverage - A Call for Action",,
983,"<strong><em>Former President George Bush Joins the National Coalition on Health Care</em></strong>",bush_joins,"Former President George Bush Joins the National Coalition on Health Care",,
986,"NCHC &amp; West Health Hill Briefing: The Burden of High Drug Prices Among Communities of Color (Part 1)",nchc-west-health-public-hill-briefing-on-drug-pricing-2,"NCHC & West Health Hill Briefing: The Burden of High Drug Prices Among Communities of Color (Part 1)",,
988,"March 15, 1999",attach2,,,
989,"<strong>Improving the Quality of Health Care:</strong><br><strong>The Federal Government Must Play a Vital Role</strong>",attach1,"Improving the Quality of Health Care:The Federal Government Must Play a Vital Role",,
992,"<strong><em>Initiative to Improve Health Care<br>Seeks Wider Adoption of Quality Innovations</em></strong>",adopt_quality,"Initiative to Improve Health CareSeeks Wider Adoption of Quality Innovations",,
999,"<strong>Universal Coverage - A Call For Action</strong>",addington_1-26-00,"Universal Coverage - A Call For Action",,
1072,"Did You Know?",consumer,"Did You Know?",,
1074,"Health Care Facts",coverage,"Health Care Facts",,
1076,"Did You Know?",georgiadata,"Did You Know?",,
1078,"Did You Know?",economic,"Did You Know?",,
1080,GLOSSARY,glossary,GLOSSARY,,
1081,"Did You Know?",index,"Did You Know?",,
1084,"HEALTH CARE COSTS ñ MYTHS AND REALTIES",mythnreality,"HEALTH CARE COSTS ñ MYTHS AND REALTIES",,
1086,"Did You Know?",public,"Did You Know?",,
1088,"Key Findings - Quality Paper",quality_myths,"Key Findings - Quality Paper",,
1090,"Did You Know?",senior,"Did You Know?",,
1092,"Did You Know?",seniors,"Did You Know?",,
1094,"<a href=""https://nchc.org/wp-admin/post.php?post=1074&amp;action=edit"">Health Care Facts</a>",spending,"Health Care Facts",,
1096,"Uninsured Myths and Realities",uninsured_myths,"Uninsured Myths and Realities",,
1099,"NCHC | Materials - Articles",articles,,,
1101,"NCHC | News - Press Releases",congressionalactionsandreports,"NCHC | News - Press Releases",,
1103,"NCHC | News - Press Releases",executive,"NCHC | News - Press Releases",,
1105,"NCHC | News - Press Releases",resources,"NCHC | News - Press Releases",,
1116,"New Paths to Health Care Value: Perspectives on Medicare Policy from Cost and Quality Leaders",new-paths-to-health-care-value-perspectives-on-medicare-policy-from-cost-and-quality-leaders,"New Paths to Health Care Value: Perspectives on Medicare Policy from Cost and Quality Leaders",,
1118,"Previewing the 2017 Health Care Policy Agenda",previewing-the-2017-health-care-policy-agenda,"Previewing the 2017 Health Care Policy Agenda",,
1120,"Separating Politics from Health Care Choices: Key “Purple” Messages for All Consumers",separating-politics-from-health-care-choices-key-purple-messages-for-all-consumers,"Separating Politics from Health Care Choices: Key “Purple” Messages for All Consumers",,
1123,sdfsdf,,,,
1127,"Sugary Drinks, A Public Health Challenge: Using Tax Policy to Promote Wellness and Prevention",sugary-drinks-a-public-health-challenge-using-tax-policy-to-promote-wellness-and-prevention,"Sugary Drinks, A Public Health Challenge: Using Tax Policy to Promote Wellness and Prevention",,
1130,"Tackling Prescription Drug Costs: An Examination of Proposed Medicare Part D Reforms and Alternatives",tackling-prescription-drug-costs-an-examination-of-proposed-medicare-part-d-reforms-and-alternatives,"Tackling Prescription Drug Costs: An Examination of Proposed Medicare Part D Reforms and Alternatives",,
1134,"The Escalating Costs of Health Coverage: Causes, Impacts, and Options",the-escalating-costs-of-health-coverage-causes-impacts-and-options,"The Escalating Costs of Health Coverage: Causes, Impacts, and Options",,
1138,"Transforming Primary Care: Scaling Up Successful Medical Home Programs",transforming-primary-care-scaling-up-successful-medical-home-programs,"Transforming Primary Care: Scaling Up Successful Medical Home Programs",,
1141,"NCHC | Members - Board of Directors",carlucci_frank,"NCHC | Members - Board of Directors",,
1142,"Withholds, Accountable Care, and Affordable Medicare Policy",withholds-accountable-care-and-affordable-medicare-policy,"Withholds, Accountable Care, and Affordable Medicare Policy",,
1146,"NCHC | Members - Board of Directors",edgar_robert,"NCHC | Members - Board of Directors",,
1148,"NCHC | Members - Board of Directors",mcarthur_john,"NCHC | Members - Board of Directors",,
1150,"NCHC | Members - Board of Directors",novelli_william,"NCHC | Members - Board of Directors",,
1152,Events,ical-1,Events,,
1153,"NCHC | Members - Board of Directors",ray_robert,"NCHC | Members - Board of Directors",,
1155,"NCHC | Members - Board of Directors",nchc-members-board-of-directors,"NCHC | Members - Board of Directors",,
1158,"NCHC | Members - Board of Directors",rogers_paul,"NCHC | Members - Board of Directors",,
1160,"NCHC | Members - Board of Directors",simmons_henry,"NCHC | Members - Board of Directors",,
1162,"NCHC | Members - Board of Directors",sweeny_john,"NCHC | Members - Board of Directors",,
1164,"NCHC | Members - Board of Directors",board,,,
1166,"Key Findings on Health Care Spending",keyfindings,"National Coalition On Health Care",,
1174,"NCHC | Members - Co-chairs",cochairs,"NCHC | Members - Co-chairs",,
1176,"NCHC | Members - Honorary Co-chairs",honorary,"NCHC | Members - Honorary Co-chairs",,
1179,"NCHC | Members - Membership List",members,"NCHC | Members - Membership List",,
1182,"NCHC | Members",membersindex,"NCHC | Members",,
1183,"NCHC | Members - Individual Supporters",supporters,"NCHC | Members - Individual Supporters",,
1186,"Minnesota Governor Issues Executive Order for Health Plans to Disclose Financials",minnesota-governor-issues-executive-order-health-plans-disclose-financials,"Minnesota Governor Issues Executive Order for Health Plans to Disclose Financials",,
1189,"Minnesota: 2010 Tobacco Fact Sheet",minnesota-2010-tobacco-fact-sheet,"Minnesota: 2010 Tobacco Fact Sheet",,
1193,"NCHC | News - Media Statements",bahr,"NCHC | News - Media Statements",,
1195,"NCHC | News - Media Statements",bahrbio,"NCHC | News - Media Statements",,
1196,"NCHC | News - Media Statements",baird,"NCHC | News - Media Statements",,
1199,"NCHC | News - Media Statements",bairdbio,"NCHC | News - Media Statements",,
1202,"NCHC | News - Media Statements",daley,"NCHC | News - Media Statements",,
1203,"NCHC | News - Media Statements",daleybio,"NCHC | News - Media Statements",,
1205,"NCHC | News - Media Statements",guiterrez,"NCHC | News - Media Statements",,
1208,"NCHC | News - Media Statements",guiterrezbio,"NCHC | News - Media Statements",,
1214,"NCHC | News - Media Statements",harrigan,"NCHC | News - Media Statements",,
1215,"NCHC | News - Press Releases",index-2,"NCHC | News - Press Releases",,
1217,"Administration Invites Congressional Leaders to Bipartisan Health Care Summit",administration-invites-congressional-leaders-bipartisan-health-care-summit,"Administration Invites Congressional Leaders to Bipartisan Health Care Summit | National Coalition on Health Care",,
1219,"NCHC | News - May 19th, 2003 Press Conference",may19pressconference,"NCHC | News - May 19th, 2003 Press Conference",,
1222,"NCHC | News - May 19th, 2003 Press Conference",nchc-news-may-19th-2003-press-conference,"NCHC | News - May 19th, 2003 Press Conference",,
1224,"NCHC | News - Media Statements",nchc-news-media-statements,"NCHC | News - Media Statements",,
1225,"Adults and Cigarette Smoking: Prevalence and Trends",adults-and-cigarette-smoking-prevalence-and-trends,"Adults and Cigarette Smoking: Prevalence and Trends | National Coalition on Health Care",,
1227,"NCHC | News - Media Statements",parkelbio,"NCHC | News - Media Statements",,
1230,"NCHC | News - Media Statements",ray,"NCHC | News - Media Statements",,
1231,"The Affordable Act: What It Means for You",affordable-act-what-it-means-you,"The Affordable Act: What It Means for You | National Coalition on Health Care",,
1234,"NCHC | News - Media Statements",raybio,"NCHC | News - Media Statements",,
1236,"NCHC | News - Media Statements",rogers,"NCHC | News - Media Statements",,
1238,"NCHC | News - Media Statements",nchc-news-media-statements-2,"NCHC | News - Media Statements",,
1239,"Allies In Action - ""Better Care at Lower Cost: Principles of Design""",allies-action-better-care-lower-cost-principles-design,"Allies In Action - ""Better Care at Lower Cost: Principles of Design"" | National Coalition on Health Care",,
1241,"NCHC | News - Media Statements",simmons,"NCHC | News - Media Statements",,
1243,"NCHC | News - Media Statements",simmonsbio,"NCHC | News - Media Statements",,
1246,"Annual Report",annual-report,"Annual Report | National Coalition on Health Care",,
1247,"NCHC | News - Press Coverage",index-3,"NCHC | News - Press Coverage",,
1250,"NCHC | News - Press Releases",press_releases,"NCHC | News - Press Releases",,
1251,"NCHC | News - Press Releases",2003-2003_05_19,"NCHC | News - Press Releases",,
1253,"Are You Choosing the Right Foods?",are-you-choosing-right-foods,"Are You Choosing the Right Foods? | National Coalition on Health Care",,
1255,"NCHC | News - Press Releases",2003_05_19_b,"NCHC | News - Press Releases",,
1257,"California's Ethnic Adults Need More Information About Health Care Reform",californias-ethnic-adults-need-more-information-about-health-care-reform,"California's Ethnic Adults Need More Information About Health Care Reform | National Coalition on Health Care",,
1259,"NCHC | News - Press Releases",2003_05_19,"NCHC | News - Press Releases",,
1261,"CBO Projects Medicare Spending at $1,038 Billion in 2020",cbo-projects-medicare-spending-1038-billion-2020,"CBO Projects Medicare Spending at $1,038 Billion in 2020 | National Coalition on Health Care",,
1263,"NCHC | News - Press Releases",2003_09_29,"NCHC | News - Press Releases",,
1264,"NCHC | News - Press Releases",index-4,"NCHC | News - Press Releases",,
1267,"Center for American Progress - Closing the Health Care Workforce Gap",center-american-progress-closing-health-care-workforce-gap,"Center for American Progress - Closing the Health Care Workforce Gap | National Coalition on Health Care",,
1268,"NCHC | News - Press Releases",archive,"NCHC | News - Press Releases",,
1271,"Children Lack Access to Dental Care, A Key Preventive Service",children-lack-access-dental-care-key-preventive-service,"Children Lack Access to Dental Care, A Key Preventive Service | National Coalition on Health Care",,
1274,"NCHC | News - Upcoming Events - Community Forums",communityforum,"NCHC | News - Upcoming Events - Community Forums",,
1275,"CMS Report on 2008 National Health Care Expenditures",cms-report-2008-national-health-care-expenditures,"CMS Report on 2008 National Health Care Expenditures | National Coalition on Health Care",,
1278,"NCHC | News - Upcoming Events",index-5,"NCHC | News - Upcoming Events",,
1280,"Community Health Centers Impact Neighborhood Health and Economic Needs",community-health-centers-impact-neighborhood-health-and-economic-needs,"Community Health Centers Impact Neighborhood Health and Economic Needs | National Coalition on Health Care",,
1283,"Comparing the Cost and Coverage Impacts of the House and Senate Leadership Health Reform Bills",comparing-cost-and-coverage-impacts-house-and-senate-leadership-health-reform-bills,"Comparing the Cost and Coverage Impacts of the House and Senate Leadership Health Reform Bills | National Coalition on Health Care",,
1289,"A Compendium of Federal Budget and Cost Cutting Proposals from the Health Policy Perspective",compendium-federal-budget-and-cost-cutting-proposals-health-policy-perspective,"A Compendium of Federal Budget and Cost Cutting Proposals from the Health Policy Perspective | National Coalition on Health Care",,
1294,"Congressional Budget Office - Revised Cost Estimate for H.R. 3962",congressional-budget-office-revised-cost-estimate-hr-3962,"Congressional Budget Office - Revised Cost Estimate for H.R. 3962 | National Coalition on Health Care",,
1297,"Congressional Research Service Analyzes State Exchange Language",congressional-research-service-analyzes-state-exchange-language,"Congressional Research Service Analyzes State Exchange Language | National Coalition on Health Care",,
1302,"Cost Containment: The Key to Accessible, Affordable, High-Quality Health Care",cost-containment-key-accessible-affordable-high-quality-health-care,"Cost Containment: The Key to Accessible, Affordable, High-Quality Health Care | National Coalition on Health Care",,
1306,"The Costly Impact of Physican Ownership of Medical Equipment",costly-impact-physican-ownership-medical-equipment,"The Costly Impact of Physican Ownership of Medical Equipment | National Coalition on Health Care",,
1315,"CRS Report Identifies Workforce and Quality Provisions of Health Reform",crs-report-identifies-workforce-and-quality-provisions-health-reform,"CRS Report Identifies Workforce and Quality Provisions of Health Reform | National Coalition on Health Care",,
1318,"CRS Summarizes Discretionary Funding, Appropiations and Fund Transfers in ACA",crs-summarizes-discretionary-funding-appropiations-and-fund-transfers-aca,"CRS Summarizes Discretionary Funding, Appropiations and Fund Transfers in ACA | National Coalition on Health Care",,
1323,"Democratic Congressional Leaders Asked to Ensure Bipartisan Process",democratic-congressional-leaders-asked-ensure-bipartisan-process,"Democratic Congressional Leaders Asked to Ensure Bipartisan Process | National Coalition on Health Care",,
1327,"Educating Skittish Small Businesses",educating-skittish-small-businesses,"Educating Skittish Small Businesses | National Coalition on Health Care",,
1330,"The Effects of Cost-Sharing on the Health of Vulnerable Populations",effects-cost-sharing-health-vulnerable-populations,"The Effects of Cost-Sharing on the Health of Vulnerable Populations | National Coalition on Health Care",,
1334,"Estimated Financial Effects of the ""America's Affordable Health Choices Act of 2009"" (H.R. 3962)",estimated-financial-effects-americas-affordable-health-choices-act-2009-hr-3962,"Estimated Financial Effects of the ""America's Affordable Health Choices Act of 2009"" (H.R. 3962) | National Coalition on Health Care",,
1336,"Facts &amp; Resources",fact-sheet-cost-0,"Facts & Resources | National Coalition on Health Care",,
1338,"Fact Sheet - Early Retirees",fact-sheet-early-retirees,"Fact Sheet - Early Retirees | National Coalition on Health Care",,
1340,"Fact Sheet - Free Drug Samples",fact-sheet-free-drug-samples,"Fact Sheet - Free Drug Samples | National Coalition on Health Care",,
1342,"Health Care and You: Understanding the Health Care Law",health-care-and-you-understanding-health-care-law,"Health Care and You: Understanding the Health Care Law | National Coalition on Health Care",,
1344,"Health Care Reform: Creating A Sustainable Health Care Marketplace",health-care-reform-creating-sustainable-health-care-marketplace,"Health Care Reform: Creating A Sustainable Health Care Marketplace | National Coalition on Health Care",,
1346,"Health Reform Advocates Push for Completion of Temporary Insurance Pool",health-reform-advocates-push-completion-temporary-insurance-pool,"Health Reform Advocates Push for Completion of Temporary Insurance Pool | National Coalition on Health Care",,
1348,"Holding Steady, Looking Ahead: Kaiser's Annual Findings of a 50-State Survey",holding-steady-looking-ahead-kaisers-annual-findings-50-state-survey,"Holding Steady, Looking Ahead: Kaiser's Annual Findings of a 50-State Survey | National Coalition on Health Care",,
1350,"Facts &amp; Resources",list-page-11,"Facts & Resources | National Coalition on Health Care",,
1354,"Facts &amp; Resources",list-page-14,"Facts & Resources | National Coalition on Health Care",,
1356,"Facts &amp; Resources",list-page-5,"Facts & Resources | National Coalition on Health Care",,
1359,"Facts &amp; Resources",list-page-6,"Facts & Resources | National Coalition on Health Care",,
1361,"Facts &amp; Resources",list-page-7,"Facts & Resources | National Coalition on Health Care",,
1363,"Facts &amp; Resources",list-page-8,"Facts & Resources | National Coalition on Health Care",,
1365,"Medicare: 6 Things You Need to Know Now",medicare-6-things-you-need-know-now,"Medicare: 6 Things You Need to Know Now | National Coalition on Health Care",,
1367,"National Health Expenditures Jumped 5.7 Percent Last Year",national-health-expenditures-jumped-57-percent-last-year,"National Health Expenditures Jumped 5.7 Percent Last Year | National Coalition on Health Care",,
1370,"National Minimum Medical Loss Ratio Would Save Tens of Billions of Dollars For Businesses, Individuals - Main Street Alliance",national-minimum-medical-loss-ratio-would-save-tens-billions-dollars-businesses-indi,"National Minimum Medical Loss Ratio Would Save Tens of Billions of Dollars For Businesses, Individuals - Main Street Alliance | National Coalition on Health Care",,
1372,"Need CA Health Stats? Look No Further!",need-ca-health-stats-look-no-further,"Need CA Health Stats? Look No Further! | National Coalition on Health Care",,
1374,"New America on Health Policy: Easy Access to Our Work and Experts on This Issue",new-america-health-policy-easy-access-our-work-and-experts-issue,"New America on Health Policy: Easy Access to Our Work and Experts on This Issue | National Coalition on Health Care",,
1376,"New CBO Score Claims Greater Deficit Reduction from Health Reform",new-cbo-score-claims-greater-deficit-reduction-health-reform,"New CBO Score Claims Greater Deficit Reduction from Health Reform | National Coalition on Health Care",,
1378,"New Website to Provide Health Reform Information to Consumers",new-website-provide-health-reform-information-consumers,"New Website to Provide Health Reform Information to Consumers | National Coalition on Health Care",,
1380,"The Patient Protection and Affordable Care Act",patient-protection-and-affordable-care-act,"The Patient Protection and Affordable Care Act | National Coalition on Health Care",,
1382,"Personal Cost of Obesity",personal-cost-obesity,"Personal Cost of Obesity | National Coalition on Health Care",,
1384,"Plans to Improve Health Care’s Fiscal Challenges",plans-improve-health-care-s-fiscal-challenges,"Plans to Improve Health Care’s Fiscal Challenges | National Coalition on Health Care",,
1386,"President Obama Calls for Completion of Health Reform",president-obama-calls-completion-health-reform,"President Obama Calls for Completion of Health Reform | National Coalition on Health Care",,
1388,"Realizing Cost Savings from Health Promotion Programs",realizing-cost-savings-health-promotion-programs,"Realizing Cost Savings from Health Promotion Programs | National Coalition on Health Care",,
1390,"Repealing Reform Increases Deficit by $455 Billion",repealing-reform-increases-deficit-455-billion,"Repealing Reform Increases Deficit by $455 Billion | National Coalition on Health Care",,
1392,"Retiree Health Benefits, Underfunded in 40 States",retiree-health-benefits-underfunded-40-states,"Retiree Health Benefits, Underfunded in 40 States | National Coalition on Health Care",,
1394,"Robert Wood Johnson Foundation Develops Interactive Tool to Track Smoking-Related Trends",robert-wood-johnson-foundation-develops-interactive-tool-track-smoking-related-trend,"Robert Wood Johnson Foundation Develops Interactive Tool to Track Smoking-Related Trends | National Coalition on Health Care",,
1396,"Rules Committee Posts Text of Health Reform Corrections Package",rules-committee-posts-text-health-reform-corrections-package,"Rules Committee Posts Text of Health Reform Corrections Package | National Coalition on Health Care",,
1398,"Secretaries of Health and Human Services, Labor and Treasury Highlight ACA Benefits",secretaries-health-and-human-services-labor-and-treasury-highlight-aca-benefits,"Secretaries of Health and Human Services, Labor and Treasury Highlight ACA Benefits | National Coalition on Health Care",,
1400,"Small Business and Realizing Health Reform's Potential",small-business-and-realizing-health-reforms-potential,"Small Business and Realizing Health Reform's Potential | National Coalition on Health Care",,
1402,"Small Business Tax Credit Calculator",small-business-tax-credit-calculator,"Small Business Tax Credit Calculator | National Coalition on Health Care",,
1404,"Smoking Cessation: Benefits, Barriers, and Policy Interventions",smoking-cessation-benefits-barriers-and-policy-interventions,"Smoking Cessation: Benefits, Barriers, and Policy Interventions | National Coalition on Health Care",,
1406,"Socio-Economic Status and Smoking",socio-economic-status-and-smoking,"Socio-Economic Status and Smoking | National Coalition on Health Care",,
1408,"Specifications for Reform",specifications-reform,"Specifications for Reform | National Coalition on Health Care",,
1410,"Stimulus Dollars Aid to Community Health Centers: A First Look",stimulus-dollars-aid-community-health-centers-first-look,"Stimulus Dollars Aid to Community Health Centers: A First Look | National Coalition on Health Care",,
1412,"Third Way Policy Brief - What's In It For Me: 12 Benefits of Health Insurance Reform",third-way-policy-brief-whats-it-me-12-benefits-health-insurance-reform,"Third Way Policy Brief - What's In It For Me: 12 Benefits of Health Insurance Reform | National Coalition on Health Care",,
